4	Mexiko chce zaručiť bezpečnosť občanov.	Mexiko si praje vyhnúť sa väčšiemu násiliu.
4.2	španielsko v súčasnosti drží rotujúce predsedníctvo v OBSE.	španielsko v súčasnosti predsedá oscu.
4.2	zmluva bola prvýkrát podpísaná v roku 1990.	zmluva o cfe bola podpísaná v roku 1990.
3.2	gorgich a pašket boli popravení vo väzení.	gorgich a pašket boli popravení za obchodovanie s heroínom v provincii Sistan-baluchestan.
0.6	bezpečná bourada bola odsúdená na 15 rokov väzenia.	djamel badaoui bol odsúdený na päť rokov.
3.6	Santos uviedol, že rádioaktívny materiál bol primárnym základom pre výrobu surových zbraní hromadného ničenia a terorizmu.	urán je rádioaktívny materiál, ktorý je primárnym základom pre výrobu špinavých zbraní hromadného ničenia a terorizmu.
3.6	fulvio berghella uviedol, že digitálny červ s názvom sq hell bol obzvlášť virulentný a replikoval sa rýchlosťou 8 000 krát za hodinu.	fulvio berghella uviedol, že digitálny červ s názvom sq hell má veľmi vysokú schopnosť replikácie a digitálny červ s názvom sq hell spomaľuje počítačovú sieť poste italiane a robí niektoré počítače nefunkčnými.
2	ingo kober uviedol, že v súčasnosti je väčší záujem o práva duševného vlastníctva ako pred 20 alebo 30 rokmi.	ingo kober uviedol, že niektoré národy majú silnejšie práva duševného vlastníctva ako iné.
4.4	vyšetrovatelia tvrdia, že britská spoločnosť bola krytom cia.	ruskí vyšetrovatelia uviedli, že britská spoločnosť bola krytom cia.
1.4	členské štáty rusko a nato budú túto jeseň rokovať o konvenčných silách v európskej zmluve (CFE).	ruský parlament jednomyseľne hlasoval za pozastavenie účasti Ruska v zmluve o konvenčných silách v Európe (CFE).
4.6	vláda Spojených štátov a ďalší členovia nato odmietli ratifikovať zmenenú a doplnenú zmluvu, až kým predstavitelia v Moskve nestiahnu vojská z bývalých sovietskych republík Moldavsko a Gruzínsko.	spojené štáty a ďalší členovia nato odmietli ratifikovať zmenenú a doplnenú zmluvu, kým sa Rusko úplne nevstúpi z Moldavska a Gruzínska.
2	Rusko by okamžite nezvýšilo vojenskú silu pozdĺž ruských hraníc.	Rusko by v prípade potreby neváhalo zvýšiť vojenskú silu pozdĺž ruských hraníc.
2.2	centrum bude v prevádzke od augusta 2008.	centrum bude formálne otvorené v roku 2009.
3.8	brazílska polícia obklopujúca slumy severne od Rio de Janeiro, aby ich zbavila násilných obchodníkov s drogami.	policajti obkľúčili slumy severne od rio de janeiro, aby ich zbavili násilných obchodníkov s drogami a zaistili zbrane a drogy.
3.6	regionálne a medzinárodné otázky nešírenia by sa mali riešiť prostredníctvom dialógu a rokovaní.	druhým návrhom bolo, že regionálne a medzinárodné otázky nešírenia jadrových zbraní by sa mali riešiť prostredníctvom dialógu a rokovaní.
2.6	v Afganistane došlo k bombardovaniu, pretože v posledných dňoch pribúdajú útoky protivládnych povstalcov.	v Afganistane došlo k bombovému útoku, polícia však zatiaľ neuviedla, kto je zodpovedný.
4.8	Webové stránky gruzínskej vlády sú pod silným kybernetickým útokom po ruských vojenských útokoch proti Gruzínsku koncom minulého týždňa.	kybernetické útoky nasledujú po ruských vojenských útokoch proti Gruzínsku koncom minulého týždňa.
3.8	Obchodné a diplomatické vzťahy Švajčiarska s Iránom boli kritizované v posledných mesiacoch po tom, čo v marci 2008 odcestovala ministerka zahraničia Micheline Calmy-Reyová do Teheránu, aby podpísala dohodu s iránskou štátnou plynárenskou spoločnosťou.	Obchodné a diplomatické vzťahy Švajčiarska s islamskou republikou boli kritizované v posledných mesiacoch po tom, čo v marci 2008 odcestovala ministerka zahraničia Micheline Calmy-Reyová do Teheránu, aby podpísala dohodu o plyne.
2.8	Zmluva o konvenčných silách v Európe obmedzuje počet vojenských lietadiel, tankov a iných nejadrových ťažkých zbraní v Európe.	zmluva o konvenčných silách v Európe bola podpísaná ruskými a nato v roku 1990.
